"Name","Live Bytes","Live Objects"
"byte[]","37,000,824 B (53%)","287,796 (29.4%)"
"int[]","6,179,784 B (8.9%)","13,108 (1.3%)"
"java.lang.String","2,675,904 B (3.8%)","111,496 (11.4%)"
"java.lang.Object[]","2,629,832 B (3.8%)","49,168 (5%)"
"char[]","2,043,152 B (2.9%)","7,668 (0.8%)"
"java.lang.reflect.Method","1,857,768 B (2.7%)","21,111 (2.2%)"
"java.lang.Class","1,552,928 B (2.2%)","13,114 (1.3%)"
"java.util.concurrent.ConcurrentHashMap$Node","1,238,432 B (1.8%)","38,701 (4%)"
"java.util.jar.JarFile$1","970,800 B (1.4%)","60,675 (6.2%)"
"java.util.TreeMap$Entry","866,000 B (1.2%)","21,650 (2.2%)"
"java.lang.Class[]","570,808 B (0.8%)","25,414 (2.6%)"
"java.util.HashMap$Node[]","504,856 B (0.7%)","5,927 (0.6%)"
"java.util.LinkedHashMap$Entry","491,440 B (0.7%)","12,286 (1.3%)"
"java.util.HashMap$Node","481,536 B (0.7%)","15,048 (1.5%)"
"java.io.ObjectStreamClass$WeakClassKey","412,832 B (0.6%)","12,901 (1.3%)"
"java.lang.StringBuilder","399,840 B (0.6%)","16,660 (1.7%)"
"java.util.concurrent.ConcurrentHashMap$Node[]","391,880 B (0.6%)","505 (0.1%)"
"java.util.LinkedHashMap","343,000 B (0.5%)","6,125 (0.6%)"
"java.lang.Object","320,432 B (0.5%)","20,027 (2%)"
"org.h2.mvstore.MVMap[]","262,160 B (0.4%)","1 (0%)"
"long[]","254,376 B (0.4%)","1,076 (0.1%)"
"java.lang.reflect.Field","232,560 B (0.3%)","3,230 (0.3%)"
"java.net.URL","216,896 B (0.3%)","3,389 (0.3%)"
"java.util.HashMap","181,344 B (0.3%)","3,778 (0.4%)"
"java.lang.reflect.Constructor","146,400 B (0.2%)","1,830 (0.2%)"
"java.lang.invoke.MemberName","139,968 B (0.2%)","2,916 (0.3%)"
"java.util.TreeMap$KeyIterator","139,680 B (0.2%)","4,365 (0.4%)"
"java.lang.String[]","139,664 B (0.2%)","4,153 (0.4%)"
"java.lang.Class$ReflectionData","131,520 B (0.2%)","2,055 (0.2%)"
"java.lang.reflect.Method[]","129,520 B (0.2%)","2,228 (0.2%)"
"java.lang.ref.SoftReference","128,200 B (0.2%)","3,205 (0.3%)"
"org.springframework.core.MethodClassKey","126,480 B (0.2%)","5,270 (0.5%)"
"java.util.ArrayList","123,312 B (0.2%)","5,138 (0.5%)"
"java.util.jar.JarFile$JarFileEntry","103,584 B (0.1%)","1,079 (0.1%)"
"java.lang.invoke.LambdaForm$Name","99,232 B (0.1%)","3,101 (0.3%)"
"java.util.TreeMap","98,112 B (0.1%)","2,044 (0.2%)"
"java.lang.invoke.MethodType","95,080 B (0.1%)","2,377 (0.2%)"
"java.util.ArrayList$Itr","93,632 B (0.1%)","2,926 (0.3%)"
"java.util.LinkedHashMap$LinkedKeyIterator","86,880 B (0.1%)","2,715 (0.3%)"
"short[]","85,056 B (0.1%)","472 (0%)"
"java.lang.management.ThreadInfo","81,432 B (0.1%)","783 (0.1%)"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry","81,120 B (0.1%)","2,535 (0.3%)"
"jdk.internal.org.objectweb.asm.Item","80,528 B (0.1%)","1,438 (0.1%)"
"java.io.ObjectStreamClass","79,976 B (0.1%)","769 (0.1%)"
"java.util.concurrent.ConcurrentHashMap","77,824 B (0.1%)","1,216 (0.1%)"
"org.springframework.core.ResolvableType","74,736 B (0.1%)","1,557 (0.2%)"
"sun.util.locale.LocaleObjectCache$CacheEntry","70,848 B (0.1%)","1,476 (0.2%)"
"java.util.TreeMap$EntryIterator","69,440 B (0.1%)","2,170 (0.2%)"
"java.util.Collections$UnmodifiableCollection$1","67,872 B (0.1%)","2,828 (0.3%)"
"java.lang.Integer","63,680 B (0.1%)","3,980 (0.4%)"
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef","61,488 B (0.1%)","1,281 (0.1%)"
"org.unbescape.html.HtmlEscapeSymbols$Reference","59,592 B (0.1%)","2,483 (0.3%)"
"java.io.SerialCallbackContext","56,640 B (0.1%)","2,360 (0.2%)"
"org.springframework.util.ConcurrentReferenceHashMap$Segment","55,680 B (0.1%)","1,392 (0.1%)"
"java.util.zip.ZipFile$ZipFileInflaterInputStream","55,216 B (0.1%)","986 (0.1%)"
"java.lang.invoke.ResolvedMethodName","55,200 B (0.1%)","2,300 (0.2%)"
"org.springframework.util.ConcurrentReferenceHashMap$Reference[]","55,032 B (0.1%)","1,414 (0.1%)"
"java.lang.ref.ReferenceQueue","54,688 B (0.1%)","1,709 (0.2%)"
"java.security.CodeSource","53,920 B (0.1%)","1,348 (0.1%)"
"org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference","53,760 B (0.1%)","1,120 (0.1%)"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","53,056 B (0.1%)","1,658 (0.2%)"
"java.nio.DirectByteBufferR","48,512 B (0.1%)","758 (0.1%)"
"java.util.zip.ZipFile$ZipFileInputStream","47,328 B (0.1%)","986 (0.1%)"
"java.util.WeakHashMap$Entry","47,240 B (0.1%)","1,181 (0.1%)"
"javax.management.openmbean.CompositeData[]","46,872 B (0.1%)","2,376 (0.2%)"
"javax.management.openmbean.CompositeDataSupport","46,776 B (0.1%)","1,949 (0.2%)"
"ch.qos.logback.classic.Logger","46,752 B (0.1%)","974 (0.1%)"
"jdk.internal.org.objectweb.asm.Item[]","43,760 B (0.1%)","43 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$HashEntry[]","43,008 B (0.1%)","96 (0%)"
"java.lang.invoke.DirectMethodHandle","42,496 B (0.1%)","1,328 (0.1%)"
"sun.reflect.generics.tree.SimpleClassTypeSignature","41,784 B (0.1%)","1,741 (0.2%)"
"java.lang.Long","41,400 B (0.1%)","1,725 (0.2%)"
"java.io.File","38,688 B (0.1%)","1,209 (0.1%)"
"org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition","38,272 B (0.1%)","208 (0%)"
"sun.reflect.annotation.AnnotationInvocationHandler","37,344 B (0.1%)","1,556 (0.2%)"
"org.springframework.core.annotation.TypeMappedAnnotations","37,240 B (0.1%)","931 (0.1%)"
"java.lang.StackTraceElement[]","36,576 B (0.1%)","1,571 (0.2%)"
"java.lang.StackTraceElement","34,896 B (0.1%)","727 (0.1%)"
"org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager","33,408 B (0%)","1,392 (0.1%)"
"java.lang.Package$VersionInfo","32,920 B (0%)","823 (0.1%)"
"sun.reflect.generics.tree.TypeArgument[]","32,432 B (0%)","1,746 (0.2%)"
"char[][]","32,144 B (0%)","547 (0.1%)"
"java.util.TreeMap$EntrySet","31,856 B (0%)","1,991 (0.2%)"
"java.lang.ref.SoftReference[]","31,824 B (0%)","468 (0%)"
"jdk.internal.loader.URLClassPath$JarLoader$2","31,424 B (0%)","982 (0.1%)"
"java.util.TreeMap$KeySet","31,312 B (0%)","1,957 (0.2%)"
"java.lang.reflect.Constructor[]","31,240 B (0%)","1,351 (0.1%)"
"org.springframework.core.annotation.TypeMappedAnnotation","31,232 B (0%)","488 (0%)"
"org.springframework.beans.factory.support.RootBeanDefinition","29,920 B (0%)","170 (0%)"
"java.lang.Package","28,928 B (0%)","904 (0.1%)"
"org.h2.table.Column","28,424 B (0%)","323 (0%)"
"java.util.LinkedList$Node","28,416 B (0%)","1,184 (0.1%)"
"java.lang.invoke.LambdaForm$Name[]","28,344 B (0%)","424 (0%)"
"java.util.concurrent.CopyOnWriteArrayList","28,128 B (0%)","1,172 (0.1%)"
"java.lang.reflect.Type[]","28,120 B (0%)","1,223 (0.1%)"
"java.lang.ref.ReferenceQueue$Lock","27,408 B (0%)","1,713 (0.2%)"
"sun.reflect.generics.tree.ClassTypeSignature","26,928 B (0%)","1,683 (0.2%)"
"java.util.LinkedHashMap$LinkedKeySet","26,592 B (0%)","1,662 (0.2%)"
"java.util.HashSet","26,016 B (0%)","1,626 (0.2%)"
"org.springframework.util.ConcurrentReferenceHashMap$Entry","25,848 B (0%)","1,077 (0.1%)"
"org.springframework.core.annotation.TypeMappedAnnotations$MergedAnnotationFinder","25,568 B (0%)","799 (0.1%)"
"jdk.internal.org.objectweb.asm.MethodWriter","24,864 B (0%)","111 (0%)"
"java.util.LinkedHashSet","24,864 B (0%)","1,554 (0.2%)"
"sun.util.locale.BaseLocale","24,864 B (0%)","777 (0.1%)"
"sun.util.locale.BaseLocale$Key","24,864 B (0%)","777 (0.1%)"
"boolean[]","24,264 B (0%)","355 (0%)"
"java.lang.Class$AnnotationData","23,688 B (0%)","987 (0.1%)"
"java.util.zip.ZipFile$InflaterCleanupAction","23,664 B (0%)","986 (0.1%)"
"java.util.Locale","23,616 B (0%)","738 (0.1%)"
"java.util.LinkedList","23,616 B (0%)","738 (0.1%)"
"java.util.concurrent.atomic.AtomicInteger","23,520 B (0%)","1,470 (0.2%)"
"java.security.SecureClassLoader$1","23,472 B (0%)","978 (0.1%)"
"java.lang.reflect.Field[]","23,472 B (0%)","612 (0.1%)"
