"Name","Total Time","Total Time (CPU)","Hits"
"Monitor Ctrl-Break","2,956,388 ms (-0%)","2,956,388 ms (-0%)","1"
" com.intellij.rt.execution.application.AppMainV2$1.run ()","2,956,388 ms (-0%)","2,956,388 ms (-0%)","1"
"  java.io.BufferedReader.readLine ()","2,956,388 ms (-0%)","2,956,388 ms (-0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Catalina-utility-1","2,956,388 ms (-0%)","6.14 ms (-0%)","1"
" java.lang.Thread.run ()","2,956,388 ms (-0%)","6.14 ms (-0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","2,956,388 ms (-0%)","6.14 ms (-0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","2,956,388 ms (-0%)","6.14 ms (-0%)","1"
"    Self time","2,956,382 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","6.14 ms (-0%)","6.14 ms (-0%)","1"
"     java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run ()","6.14 ms (-0%)","6.14 ms (-0%)","1"
"      java.util.concurrent.FutureTask.runAndReset ()","6.14 ms (-0%)","6.14 ms (-0%)","1"
"       java.util.concurrent.Executors$RunnableAdapter.call ()","6.14 ms (-0%)","6.14 ms (-0%)","1"
"        org.apache.coyote.AbstractProtocol$2.run ()","6.14 ms (-0%)","6.14 ms (-0%)","1"
"         java.util.Collections$SetFromMap.iterator ()","6.14 ms (-0%)","6.14 ms (-0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Catalina-utility-2","2,956,388 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","2,956,388 ms (-0%)","0.0 ms (0%)","1"
