"Name","Live Bytes","Live Objects"
"byte[]","10,126,512 B (19.1%)","102,712 (9%)"
"java.lang.Object[]","8,141,224 B (15.4%)","213,708 (18.8%)"
"java.util.TreeMap$Entry","5,388,120 B (10.2%)","134,703 (11.8%)"
"int[]","3,739,648 B (7.1%)","12,600 (1.1%)"
"java.io.ObjectStreamClass$WeakClassKey","2,275,040 B (4.3%)","71,095 (6.2%)"
"char[]","2,150,024 B (4.1%)","7,976 (0.7%)"
"java.lang.String","2,048,472 B (3.9%)","85,353 (7.5%)"
"java.lang.Class","1,571,736 B (3%)","13,270 (1.2%)"
"java.util.concurrent.ConcurrentHashMap$Node","1,263,584 B (2.4%)","39,487 (3.5%)"
"java.lang.reflect.Method","1,239,480 B (2.3%)","14,085 (1.2%)"
"java.util.TreeMap$KeyIterator","962,752 B (1.8%)","30,086 (2.6%)"
"java.util.TreeMap","691,104 B (1.3%)","14,398 (1.3%)"
"java.util.HashMap$Node[]","491,832 B (0.9%)","6,342 (0.6%)"
"java.util.HashMap$Node","488,864 B (0.9%)","15,277 (1.3%)"
"java.util.TreeMap$EntryIterator","483,648 B (0.9%)","15,114 (1.3%)"
"java.lang.StackTraceElement","470,832 B (0.9%)","9,809 (0.9%)"
"java.util.concurrent.ConcurrentHashMap$Node[]","411,048 B (0.8%)","668 (0.1%)"
"java.util.LinkedHashMap$Entry","402,240 B (0.8%)","10,056 (0.9%)"
"java.util.Collections$UnmodifiableCollection$1","384,072 B (0.7%)","16,003 (1.4%)"
"java.io.SerialCallbackContext","375,888 B (0.7%)","15,662 (1.4%)"
"javax.management.openmbean.CompositeDataSupport","343,872 B (0.7%)","14,328 (1.3%)"
"java.lang.Object","338,704 B (0.6%)","21,169 (1.9%)"
"java.util.LinkedHashMap","321,832 B (0.6%)","5,747 (0.5%)"
"java.lang.management.ThreadInfo","305,760 B (0.6%)","2,940 (0.3%)"
"java.lang.Class[]","296,008 B (0.6%)","12,598 (1.1%)"
"org.h2.mvstore.MVMap[]","262,160 B (0.5%)","1 (0%)"
"java.io.ObjectStreamClass","230,984 B (0.4%)","2,221 (0.2%)"
"java.util.TreeMap$EntrySet","229,488 B (0.4%)","14,343 (1.3%)"
"java.util.TreeMap$KeySet","229,424 B (0.4%)","14,339 (1.3%)"
"java.util.HashMap","209,952 B (0.4%)","4,374 (0.4%)"
"javax.management.openmbean.CompositeData[]","202,520 B (0.4%)","8,918 (0.8%)"
"java.lang.StackTraceElement[]","189,240 B (0.4%)","5,783 (0.5%)"
"java.lang.String[]","174,272 B (0.3%)","5,263 (0.5%)"
"long[]","143,256 B (0.3%)","402 (0%)"
"java.lang.ref.SoftReference","143,120 B (0.3%)","3,578 (0.3%)"
"java.lang.Integer","132,240 B (0.3%)","8,265 (0.7%)"
"java.lang.StringBuilder","128,880 B (0.2%)","5,370 (0.5%)"
"java.util.ArrayList","128,112 B (0.2%)","5,338 (0.5%)"
"java.lang.invoke.MemberName","126,720 B (0.2%)","2,640 (0.2%)"
"java.lang.Long","126,240 B (0.2%)","5,260 (0.5%)"
"org.springframework.core.MethodClassKey","117,360 B (0.2%)","4,890 (0.4%)"
"java.util.concurrent.ConcurrentHashMap","110,208 B (0.2%)","1,722 (0.2%)"
"java.lang.reflect.Constructor","93,520 B (0.2%)","1,169 (0.1%)"
"java.lang.invoke.MethodType","86,440 B (0.2%)","2,161 (0.2%)"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry","71,808 B (0.1%)","2,244 (0.2%)"
"sun.util.locale.LocaleObjectCache$CacheEntry","71,040 B (0.1%)","1,480 (0.1%)"
"java.util.LinkedHashMap$LinkedKeyIterator","63,488 B (0.1%)","1,984 (0.2%)"
"org.springframework.core.ResolvableType","60,384 B (0.1%)","1,258 (0.1%)"
"org.springframework.util.ConcurrentReferenceHashMap$Segment","57,600 B (0.1%)","1,440 (0.1%)"
"java.lang.ref.ReferenceQueue","56,320 B (0.1%)","1,760 (0.2%)"
"org.springframework.util.ConcurrentReferenceHashMap$Reference[]","55,680 B (0.1%)","1,445 (0.1%)"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","55,168 B (0.1%)","1,724 (0.2%)"
"short[]","53,848 B (0.1%)","64 (0%)"
"java.lang.invoke.ResolvedMethodName","52,152 B (0.1%)","2,173 (0.2%)"
"java.util.ArrayList$Itr","50,848 B (0.1%)","1,589 (0.1%)"
